country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Cuba,CU,CUB,192,Minimum diet diversity (children aged 6 to 23 months),2014,70.2,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Minimum diet diversity (children aged 6 to 23 months),2019,57.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Minimum diet diversity (children aged 6 to 23 months),2014,70.1,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Cuba,CU,CUB,192,Minimum diet diversity (children aged 6 to 23 months),2019,57.9,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Côte d'Ivoire,CI,CIV,384,Minimum diet diversity (children aged 6 to 23 months),2012,8.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Minimum diet diversity (children aged 6 to 23 months),2012,8.6,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Côte d'Ivoire,CI,CIV,384,Minimum diet diversity (children aged 6 to 23 months),2016,22.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Minimum diet diversity (children aged 6 to 23 months),2016,22.1,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Côte d'Ivoire,CI,CIV,384,Minimum diet diversity (children aged 6 to 23 months),2012,6.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Minimum diet diversity (children aged 6 to 23 months),2012,6.7,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Côte d'Ivoire,CI,CIV,384,Minimum diet diversity (children aged 6 to 23 months),2016,23.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Minimum diet diversity (children aged 6 to 23 months),2016,23.3,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Côte d'Ivoire,CI,CIV,384,Minimum diet diversity (children aged 6 to 23 months),2012,7.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Minimum diet diversity (children aged 6 to 23 months),2012,7.6,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Côte d'Ivoire,CI,CIV,384,Minimum diet diversity (children aged 6 to 23 months),2016,22.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
Ivory Coast,CI,CIV,384,Minimum diet diversity (children aged 6 to 23 months),2016,22.7,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
"Korea, Democratic People's Republic of",KP,PRK,408,Minimum diet diversity (children aged 6 to 23 months),2017,44.4,Female,Units,%,Reported,Free,Middle of fieldwork,6 to 23 months old
"Korea, Democratic People's Republic of",KP,PRK,408,Minimum diet diversity (children aged 6 to 23 months),2017,48.9,Male,Units,%,Reported,Free,Middle of fieldwork,6 to 23 months old
"Korea, Democratic People's Republic of",KP,PRK,408,Minimum diet diversity (children aged 6 to 23 months),2017,46.7,Total,Units,%,Reported,Free,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Minimum diet diversity (children aged 6 to 23 months),2013,17.8,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Minimum diet diversity (children aged 6 to 23 months),2017,14.8,Female,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Minimum diet diversity (children aged 6 to 23 months),2013,16.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Minimum diet diversity (children aged 6 to 23 months),2017,15.6,Male,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
"Congo, the Democratic Republic of the",CD,COD,180,Minimum diet diversity (children aged 6 to 23 months),2013,17.2,Total,Units,%,Reanalysed,Free,Middle of fieldwork,6 to 23 months old
